,ID,Vote
0,6703,4
1,2447,9
2,7759,7
3,4400,7
4,5009,3
5,6664,0
6,1965,8
7,8426,6
8,324,4
9,4347,1
10,8613,9
11,9658,8
12,7063,7
13,3042,3
14,9482,1
15,3340,10
16,8340,10
17,7513,5
18,5951,1
19,4989,1
20,5396,1
21,5098,4
22,9821,5
23,1100,4
24,1612,1
25,3231,0
26,5866,3
27,5631,0
28,9018,4
29,3453,4
30,9111,7
31,636,4
32,1558,7
33,4269,0
34,8091,7
35,5809,12
36,1071,8
37,5399,10
38,8518,4
39,1243,7
40,6918,1
41,9251,9
42,8810,4
43,8522,4
44,6824,2
45,4828,7
46,3543,9
47,8463,2
48,5819,7
49,4053,0
50,1663,6
51,5350,11
52,2945,8
53,4683,9
54,2181,8
55,71,3
56,7190,7
57,7849,4
58,201,7
59,92,7
60,9676,12
61,5346,4
62,9846,8
63,4891,12
64,4885,7
65,6654,6
66,1775,4
67,3322,10
68,4073,7
69,184,7
70,2564,8
71,53,7
72,2526,4
73,9174,7
74,6870,4
75,9017,9
76,3684,7
77,4728,10
78,3959,11
79,5929,4
80,6481,7
81,5911,5
82,8238,1
83,3204,1
84,7965,8
85,2381,7
86,3116,9
87,6309,7
88,1092,3
89,3363,9
90,3913,11
91,6097,0
92,1432,7
93,4586,4
94,6319,7
95,8467,7
96,1648,2
97,2728,8
98,7784,7
99,3732,3
100,5915,5
101,7132,0
102,1967,9
103,2562,2
104,2143,11
105,6470,6
106,1689,9
107,9456,3
108,1204,7
109,5743,7
110,4504,7
111,7115,4
112,875,7
113,8024,5
114,2148,7
115,7992,7
116,9496,7
117,3485,9
118,3360,12
119,8396,7
120,9246,6
121,5441,12
122,6940,7
123,486,7
124,5759,5
125,5850,4
126,3926,7
127,369,4
128,80,5
129,6331,4
130,9790,4
131,4167,10
132,8512,4
133,4821,11
134,1321,0
135,3948,2
136,4373,7
137,6732,1
138,3279,1
139,1882,3
140,6924,7
141,4950,1
142,870,4
143,8218,11
144,16,10
145,7061,2
146,2256,7
147,7136,7
148,5963,4
149,5892,9
150,5338,11
151,7180,1
152,8084,0
153,1471,9
154,7541,0
155,7411,4
156,3706,2
157,9802,7
158,5324,5
159,7152,4
160,9370,7
161,7269,11
162,6430,9
163,2389,6
164,5415,3
165,8700,12
166,6711,7
167,7084,1
168,1026,7
169,5690,7
170,7512,0
171,7605,1
172,3407,7
173,1970,7
174,1731,1
175,8665,4
176,8069,12
177,9043,4
178,257,7
179,8590,3
180,9041,5
181,7669,11
182,9415,12
183,835,4
184,2248,1
185,1262,9
186,7949,1
187,4332,1
188,6862,11
189,2384,8
190,5684,4
191,896,1
192,5087,11
193,1991,12
194,9566,4
195,5604,1
196,1235,7
197,8978,3
198,4083,9
199,4052,4
200,9013,4
201,8805,6
202,1261,7
203,516,7
204,5960,4
205,3585,7
206,9777,4
207,931,7
208,7720,1
209,3939,12
210,1387,7
211,6813,12
212,8080,5
213,696,7
214,5578,7
215,8894,7
216,5753,12
217,6615,4
218,906,4
219,4444,5
220,3705,7
221,260,4
222,7153,9
223,6827,12
224,5725,1
225,4292,0
226,8563,4
227,9030,4
228,3095,4
229,1645,1
230,5151,8
231,3421,8
232,8608,2
233,5713,8
234,8958,7
235,8028,8
236,8390,3
237,5032,0
238,8922,8
239,8787,1
240,3522,7
241,4275,7
242,5895,11
243,1024,4
244,8755,12
245,3717,11
246,165,7
247,12,7
248,3665,0
249,4570,4
250,9128,4
251,9302,7
252,3138,1
253,9201,7
254,8882,2
255,6944,4
256,6873,5
257,6057,1
258,5254,2
259,5323,1
260,5625,2
261,7524,7
262,9219,2
263,5280,5
264,4551,11
265,815,1
266,7950,4
267,1738,4
268,6025,1
269,3262,4
270,5622,7
271,3800,4
272,9789,11
273,2743,1
274,775,10
275,295,2
276,3749,4
277,4556,0
278,8341,4
279,2462,8
280,3613,4
281,7248,4
282,4773,7
283,4085,5
284,9589,7
285,4897,1
286,6050,3
287,2298,4
288,6538,11
289,3093,3
290,7273,8
291,6534,10
292,8569,7
293,2630,11
294,9420,7
295,3636,7
296,4446,4
297,8877,10
298,6661,2
299,2927,4
300,4210,9
301,4844,11
302,3203,4
303,8927,2
304,7469,4
305,7103,7
306,3082,8
307,602,12
308,7700,2
309,7321,1
310,3527,3
311,7600,12
312,1701,7
313,1425,4
314,5914,12
315,68,7
316,3330,6
317,2701,7
318,44,1
319,6675,4
320,1522,7
321,892,4
322,630,7
323,9135,9
324,1690,10
325,4548,4
326,5134,4
327,9170,7
328,4674,7
329,4621,4
330,8183,1
331,8912,4
332,2519,4
333,2025,7
334,9167,4
335,2923,4
336,6750,10
337,8198,0
338,4847,3
339,9237,11
340,1564,7
341,2907,5
342,6194,4
343,1561,11
344,4831,2
345,183,12
346,4437,4
347,2752,1
348,3867,7
349,1708,7
350,5374,4
351,435,4
352,9563,1
353,6060,1
